EvalNumber,Fitness,TimeElapsed,initialGrass,initialBunny,initialFox,bunnyStart,bunnyFood,bunnyCooldown,bunnyFed,bunnyChildren,bunnyLiveLength,foxStart,foxCooldown,foxFed,foxChildren,foxLiveLength,grassFood,grassCooldown,grassChildren,grassLiveLength
152,35,0.2661,48,38,9,26,46,2,34,2,37,3,6,36,3,46,30,5,4,40
153,70,0.4656,40,32,10,22,44,4,43,4,44,15,18,14,3,40,16,5,3,39
154,36,0.1042,48,47,29,8,10,9,37,1,49,13,24,42,3,49,18,4,3,14
155,36,0.1015,34,46,23,17,34,13,18,4,49,3,35,22,1,45,17,7,3,31
156,35,0.1083,45,44,19,7,49,13,44,3,49,15,24,13,4,34,43,5,4,27
157,26,0.0672,36,29,24,18,49,17,48,2,36,5,9,49,4,36,17,14,4,45
158,41,0.078,49,21,11,7,42,11,38,1,48,9,44,21,4,47,22,7,3,33
159,28,0.0615,28,18,24,21,49,19,33,4,48,9,38,43,4,40,13,16,3,19
160,19,0.1157,48,44,22,9,38,26,49,3,42,24,2,40,4,47,34,16,4,30
161,17,0.1402,41,48,36,32,46,9,47,2,41,25,9,14,1,41,25,11,4,33
162,28,0.1076,24,33,11,16,8,2,42,1,48,19,47,6,3,38,20,11,3,47
163,24,0.1342,49,39,29,40,28,23,46,4,27,8,38,10,3,49,49,10,4,17
164,32,0.161,43,26,1,46,48,7,48,1,42,33,31,24,4,46,24,8,4,49
165,41,0.3065,36,21,9,25,49,12,48,2,49,14,20,35,4,41,8,1,4,25
166,24,0.0809,46,20,5,31,38,12,48,1,39,4,29,21,3,37,28,8,3,14
167,12,0.0876,28,28,3,23,27,7,42,4,42,11,5,14,3,49,34,26,4,13
168,10,0.0671,23,36,18,4,42,6,49,1,29,8,28,30,4,49,33,29,3,10
169,36,0.3319,41,31,8,14,42,7,46,1,49,2,15,30,3,38,8,1,4,47
170,30,0.1028,48,38,44,13,33,2,34,1,49,3,20,17,4,49,20,19,3,31
171,48,0.3787,46,25,23,7,43,3,42,3,37,3,28,18,4,44,40,1,4,39
172,24,0.1145,49,41,16,17,44,21,49,2,23,28,45,1,4,46,22,5,4,29
173,6,0.047,45,20,1,4,29,1,20,2,47,20,33,3,3,32,24,40,4,6
174,16,0.087,35,47,36,5,33,4,43,1,35,6,27,5,3,49,11,12,3,34
175,124,0.9011,48,35,7,22,29,4,31,2,30,43,15,21,4,49,49,3,2,41
176,1,0.0376,28,25,6,10,46,1,36,2,37,1,23,10,4,30,11,3,3,29
177,15,0.0745,26,34,25,7,31,6,48,1,32,26,34,23,3,49,7,7,4,43
178,22,0.0467,12,27,10,12,13,18,30,1,49,2,5,30,3,49,13,14,4,49
179,69,0.403,49,27,13,20,49,1,49,1,49,8,12,33,4,43,16,5,4,37
180,52,0.2388,26,25,20,16,45,8,23,3,46,5,7,23,4,43,19,3,3,32
181,19,0.0957,45,48,14,10,33,11,40,1,24,24,25,36,3,29,22,12,4,38
182,42,0.1109,48,26,16,13,32,2,46,2,49,12,25,32,4,45,40,14,3,48
183,28,0.1941,48,25,2,7,49,4,38,2,42,7,31,16,4,34,41,1,3,31
184,22,0.099,47,29,1,13,47,18,46,3,47,49,12,11,4,28,40,3,4,44
185,46,0.2261,42,10,14,30,28,3,45,2,45,21,15,43,4,49,13,1,4,15
186,29,0.0995,31,28,19,13,32,9,42,1,32,17,36,16,4,34,22,4,4,23
187,61,0.3712,49,21,5,27,26,4,34,3,42,29,21,25,4,49,34,9,4,43
188,49,0.225,33,43,13,41,49,2,45,4,47,16,23,27,4,36,30,8,2,49
189,28,0.08,38,32,29,10,35,1,43,1,47,5,13,11,4,30,41,14,4,43
190,22,0.0924,48,30,27,33,44,11,44,2,48,25,11,23,3,43,49,5,2,46
191,19,0.0954,48,30,19,5,44,32,44,1,49,49,14,28,4,41,24,23,4,41
